Species,Peak Freq (Hz),Q1 Freq (Hz),Q3 Freq (Hz),IQR BW (Hz),Freq 5% (Hz),Freq 95% (Hz),BW 90% (Hz)
CLRA,2859.4,2484.4,3468.8,984.4,1804.7,4757.8,2953.1
CLRA,2460.9,2460.9,3070.3,609.4,2320.3,3398.4,1078.1
CLRA,2554.7,2554.7,2882.8,328.1,2390.6,4687.5,2296.9
CLRA,1570.3,1664.1,3187.5,1523.4,1546.9,4687.5,3140.6
CLRA,2953.1,2718.8,3140.6,421.9,2179.7,3679.7,1500
CLRA,3117.2,2648.4,3656.2,1007.8,1945.3,4195.3,2250
CLRA,2789.1,2765.6,3562.5,796.9,2203.1,4640.6,2437.5
CLRA,2742.2,2648.4,3984.4,1335.9,2132.8,4570.3,2437.5
CLRA,3750,3445.3,3867.2,421.9,2625,4757.8,2132.8
CLRA,2648.4,1898.4,3328.1,1429.7,1640.6,4781.2,3140.6
CLRA,3234.4,2367.2,3234.4,867.2,2039.1,3937.5,1898.4
CLRA,2695.3,2671.9,2742.2,70.3,2062.5,4710.9,2648.4
CLRA,2625,2367.2,3187.5,820.3,1921.9,3843.8,1921.9
CLRA,3328.1,3000,3562.5,562.5,2507.8,4101.6,1593.8
CLRA,2976.6,2390.6,3585.9,1195.3,1781.2,4289.1,2507.8
CLRA,2203.1,2203.1,2671.9,468.8,1875,2976.6,1101.6
CLRA,2906.2,1921.9,2906.2,984.4,1781.2,3164.1,1382.8
CLRA,2812.5,2648.4,3070.3,421.9,2414.1,3421.9,1007.8
CLRA,2179.7,2203.1,3046.9,843.8,1898.4,3726.6,1828.1
CLRA,2742.2,2531.2,3726.6,1195.3,1851.6,4804.7,2953.1
CLRA,2859.4,2460.9,2929.7,468.8,1875,4804.7,2929.7
CLRA,1687.5,1664.1,2695.3,1031.2,1570.3,3656.2,2085.9
CLRA,3046.9,2718.8,3445.3,726.6,1828.1,4078.1,2250
CLRA,2742.2,2484.4,3234.4,750,1781.2,4453.1,2671.9
CLRA,2578.1,2507.8,3398.4,890.6,1851.6,4734.4,2882.8
CLRA,2460.9,2460.9,3257.8,796.9,2367.2,4335.9,1968.8
CLRA,2554.7,2578.1,2906.2,328.1,2367.2,3914.1,1546.9
CLRA,3351.6,2085.9,3421.9,1335.9,1593.8,4828.1,3234.4
CLRA,3960.9,2671.9,3843.8,1171.9,1875,4757.8,2882.8
CLRA,4031.2,3023.4,3867.2,843.8,2015.6,4148.4,2132.8
CLRA,4406.2,2507.8,4429.7,1921.9,1875,4875,3000
CLRA,2695.3,2625,3539.1,914.1,2226.6,4804.7,2578.1
CLRA,3867.2,3539.1,3867.2,328.1,2742.2,4382.8,1640.6
CLRA,4781.2,2320.3,4664.1,2343.8,1687.5,4851.6,3164.1
CLRA,2601.6,2601.6,3140.6,539.1,2062.5,3867.2,1804.7
CLRA,2554.7,2484.4,2718.8,234.4,1851.6,4640.6,2789.1
CLRA,3421.9,2625,3445.3,820.3,2015.6,3773.4,1757.8
CLRA,3421.9,2906.2,3375,468.8,2414.1,3843.8,1429.7
CLRA,2109.4,2085.9,3515.6,1429.7,1851.6,4546.9,2695.3
CLRA,2296.9,2226.6,2906.2,679.7,1851.6,3023.4,1171.9
CLRA,2062.5,2085.9,2906.2,820.3,1851.6,3187.5,1335.9
CLRA,2789.1,2648.4,2882.8,234.4,2226.6,3398.4,1171.9
CLRA,2437.5,2320.3,2882.8,562.5,1968.8,3539.1,1570.3
CLRA,2835.9,2601.6,3656.2,1054.7,1851.6,4851.6,3000
CLRA,2859.4,2742.2,2953.1,210.9,1921.9,4734.4,2812.5
CLRA,1664.1,1664.1,2601.6,937.5,1523.4,3281.2,1757.8
CLRA,3210.9,2343.8,3257.8,914.1,1875,4523.4,2648.4
CLRA,3234.4,2367.2,3375,1007.8,1546.9,4429.7,2882.8
CLRA,2812.5,2343.8,3656.2,1312.5,1757.8,4875,3117.2
CLRA,3281.2,2625,3304.7,679.7,2390.6,4593.8,2203.1
CLRA,2554.7,2578.1,3023.4,445.3,2460.9,4523.4,2062.5
CLRA,1523.4,1664.1,3703.1,2039.1,1523.4,4804.7,3281.2
CLRA,3796.9,2343.8,3796.9,1453.1,1570.3,4781.2,3210.9
CLRA,3164.1,3000,3703.1,703.1,1921.9,4054.7,2132.8
CLRA,3210.9,2156.2,3468.8,1312.5,1851.6,4335.9,2484.4
CLRA,2742.2,2671.9,3468.8,796.9,2226.6,4593.8,2367.2
CLRA,3843.8,2906.2,4007.8,1101.6,2507.8,4804.7,2296.9
CLRA,3445.3,2015.6,3445.3,1429.7,1734.4,4757.8,3023.4
CLRA,2859.4,2765.6,3679.7,914.1,2132.8,4031.2,1898.4
CLRA,2578.1,2554.7,2929.7,375,2179.7,4781.2,2601.6
CLRA,3492.2,2484.4,3492.2,1007.8,1898.4,3679.7,1781.2
CLRA,3304.7,2929.7,3351.6,421.9,2695.3,3843.8,1148.4
CLRA,2953.1,2132.8,2976.6,843.8,1945.3,4101.6,2156.2
CLRA,2203.1,2179.7,2835.9,656.2,1921.9,3046.9,1125
CLRA,2906.2,2156.2,2929.7,773.4,1757.8,3304.7,1546.9
CLRA,2718.8,2648.4,2882.8,234.4,2320.3,3398.4,1078.1
CLRA,2320.3,2179.7,3093.8,914.1,1898.4,3679.7,1781.2
